,Unnamed: 0,Name,Genre,Category,Release_Date,Price (in $),Owners,Followers,Developers,Publishers
4573,5200,Henry's day,"Fr, Adventure"," Single-player, Steam Achievements, Family Sharing",2021-11-11,9.99,"0 - 20,000",108,Elusive Panda,Elusive Panda
4574,5201,Schmutznik,"Action, Indie"," Single-player, Full controller support, Family Sharing",2021-10-14,11.99,"0 - 20,000",10,Avram Dumitrescu,Avram Dumitrescu Illustrations
4575,5202,暴打萌鼠,"Indie, Strategy"," Single-player, Family Sharing",2021-05-07,2.99,"0 - 20,000",21,LI XICHUN,LI XICHUN
4576,5203,Super pixel world,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-04-02,1.99,"0 - 20,000",26,EFG Play,EFG Play
4577,5204,Slime dungeon escape,"Action, Indie"," Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing",2021-04-27,0.99,"0 - 20,000",12,Rmonak,Rmonak
4578,5205,Red white yellow,"Fr, Casual"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-03-30,2.99,"0 - 20,000",21,Takahiro Miyazawa,Takahiro Miyazawa
4579,5206,Castle itter - the strangest battle of wwii,"Simulation, Strategy"," Single-player, Family Sharing",2021-04-30,8.99,"0 - 20,000",158,Jérémy Zurcher,Jérémy Zurcher
4580,5207,Wildfire - ticket to rock,"Indie, Simulation"," Single-player, Family Sharing",2021-06-17,9.99,"0 - 20,000",79,Visual Saga,Visual Saga
4581,5208,Tiny hunter,"Action, Indie"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-07-06,7.99,"0 - 20,000",25,Nojigames,Nojigames
4582,5209,Short fuse,"Casual, Indie"," Single-player, Family Sharing",2021-09-25,9.99,"0 - 20,000",15,Tag 44/24,Tag 44/24
4583,5210,Guns and grapples,"Indie, in Early Access"," Single-player, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards, Family Sharing",,11.99,"0 - 20,000",32,Bit Shifters,Bit Shifters
4584,5212,Lightsmith,"Simulation, Early Access"," Single-player, Steam Achievements, Family Sharing",2021-08-24,13.99,"0 - 20,000",58,A Few Dragons Pty Ltd,A Few Dragons Pty Ltd
4585,5213,Bats: bloodsucker anti-terror squad,"Action, Indie"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-10-19,9.99,"20,000 - 50,000",293,The MIX Games,One Eyed Robot
4586,5214,G-modeアーカイブス01 フライハイトクラウディア,"Fr, RPG"," Single-player, Steam Cloud, Family Sharing",2021-04-26,4.99,"0 - 20,000",133,G-MODE,G-MODE
4587,5215,Wishlair,"Adventure, Indie"," Single-player, Family Sharing",2021-07-28,4.99,"0 - 20,000",29,Chronogears,Chronogears
4588,5216,Valakas: immortal,"Fr, Action"," Single-player, Family Sharing",2021-06-25,0.99,"20,000 - 50,000",22,Invisible Studio,Invisible Studio
4589,5217,Devileader,"Action, Indie"," Single-player, Partial Controller Support, Family Sharing",2021-06-25,0.99,"20,000 - 50,000",48,Hijong Park,PsychoFlux Entertainment
4590,5218,Loopindex,"Casual, Indie"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Remote Play Together, Family Sharing",2021-06-25,4.99,"0 - 20,000",68,Somepx,Ratalaika Games S.L.
4591,5219,Build a boss,"Casual, Indie"," Multi-player, PvP, Online PvP, Family Sharing",2021-07-15,1.99,"0 - 20,000",29,Tr3 Game Studios,Tr3 Game Studios
4592,5220,Anime match,"Fr, Casual"," Single-player, Steam Achievements, Family Sharing",2021-05-25,1.99,"0 - 20,000",14,Miss Pasture,Miss Pasture
4593,5221,Ultra ninja soul,"Action, Indie"," Single-player, Full controller support, Family Sharing",2021-06-01,5.99,"0 - 20,000",61,STUDIO POCO,STUDIO POCO
4594,5222,Ball heroes,"Sports, Early Access"," Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Family Sharing",2021-11-16,9.99,"0 - 20,000",27,Chengdu Haowanyou Technologies Co.,Ltd
4595,5223,Traffic chase,"Sports, Early Access"," Single-player, Family Sharing",2021-09-21,9.99,"0 - 20,000",93,Digital Mind,Digital Mind
4596,5224,Fantasy heroes 4d / character maker,"Utilities, Game Development", ,2021-09-27,19.99,"0 - 20,000",82,Hippo Games,Hippo Games
4597,5225,Legendary mahjong 2,"Casual, Indie"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-10-12,7.99,"0 - 20,000",37,IP Izmailov Vladimir Yurievich,HH-Games
4598,5226,Bubble pop it asmr,"Simulation, Strategy"," Single-player, Family Sharing",2021-10-13,0.99,"0 - 20,000",20,Boogygames Studios,Boogygames Studios
4599,5228,Super ick,"Adventure, Indie"," Single-player, Family Sharing",2021-11-16,2.99,"20,000 - 50,000",20,Ethan Goldreyer,Ethan Goldreyer
4600,5229,Master theft tvs,"Casual, Indie"," Single-player, Steam Achievements, Steam Leaderboards, Family Sharing",2021-12-23,1.99,"0 - 20,000",23,Nikita Zotov  TEPA6ANT ,Nikita Zotov  TEPA6ANT 
4601,5230,Tomb keeper mansion deluxe pinball,"Action, Casual"," Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing",2021-11-15,4.99,"20,000 - 50,000",40,Pinblend Studios,Pinblend Studios
4602,5231,Himegimi detective,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-11-24,9.99,"0 - 20,000",163,YOX-Project,YOX-Project
4603,5232,Careueyes - blue light filter,"Fr, Utilities", ,2021-11-18,29.99,"0 - 20,000",45,CareUEyes,CareUEyes
4604,5233,Clou - roll & heist,"Strategy, Early Access"," Single-player, Steam Achievements, Stats, Family Sharing",2021-11-24,5.99,"0 - 20,000",64,Boardgame Racoon e.K.,Boardgame Racoon e.K.
4605,5234,Examination chambers,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-12-02,1.99,"0 - 20,000",26,Felix T. Vogel,Felix T. Vogel
4606,5235,Find the sunbed,"Adventure, Indie"," Single-player, Steam Achievements, Steam Workshop, Partial Controller Support, Family Sharing",2021-12-07,1.99,"100,000 - 200,000",27,DS | Voxaol,DS | Voxaol
4607,5236,Control:override,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-04-20,2.99,"0 - 20,000",48,B-Deshi Interactive,Brain Station 23 Ltd.
4608,5237,Super dango,"Strategy, Early Access"," Single-player, Steam Achievements, Steam Cloud, Includes level editor, Family Sharing",2021-01-19,2.99,"0 - 20,000",46,Super Rice,Super Rice
4609,5238,Project entertainment system,"Action, Indie"," Single-player, Family Sharing",2021-02-26,4.99,"0 - 20,000",87,Curlee Fro,Curlee Fro
4610,5239,Traceur's dreamlab vr,"Sports, Strategy"," Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Tracked Controller Support, VR Only, Steam Workshop, Steam Cloud, Stats, Includes level editor, Family Sharing",2021-01-05,4.99,"0 - 20,000",38,Icegrim Softworks,Icegrim Softworks
4611,5240,Scramble,"Indie, Strategy"," Single-player, Steam Achievements, Family Sharing",2021-03-01,0.59,"0 - 20,000",74,Nyberius,Nyberius
4612,5241,Last kingdom - the card game,"Indie, Strategy"," Single-player, Family Sharing",2021-02-14,8.99,"0 - 20,000",71,Black Phoenix Studio,Black Phoenix Studio
4613,5242,Rushing beat of rage,"Adventure, Indie"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Stats, Steam Leaderboards, Remote Play Together, Family Sharing",2021-01-05,8.99,"0 - 20,000",75,Joystick Studio,Joystick Studio
4614,5243,Spaghet 2: al dente chapter,"Adventure, Indie"," Single-player, Family Sharing",2021-01-01,3.99,"0 - 20,000",65,Torrey Daniel,TD Indie
4615,5244,Garetto,"Casual, Indie"," Single-player, Steam Achievements, Family Sharing",2021-02-19,0.99,"0 - 20,000",23,FranciscoGames,Ff games
4616,5245,Wall street bets,"Indie, Simulation"," Single-player, Steam Achievements, Family Sharing",2021-03-01,2.99,"0 - 20,000",61,Carbon Fiber Games LLC,Carbon Fiber Games LLC
4617,5246,Radon blast,"Action, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV, Family Sharing",2021-02-27,2.99,"20,000 - 50,000",25,EntwicklerX,EntwicklerX
4618,5247,Faircroft's antiques: the heir of glen kinnoch,"Adventure, Casual"," Single-player, Steam Cloud, Family Sharing",2021-03-18,9.99,"0 - 20,000",63,Boomzap Inc,Boomzap Inc
4619,5248,Knight throde,"Indie, RPG"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Family Sharing",2021-03-09,0.99,"0 - 20,000",50,LIU Daohuan,LIU Daohuan
4620,5249,Mushroomonster,"Fr, Indie"," Single-player, Family Sharing",2021-04-29,0.99,"0 - 20,000",21,Mikhail Nevsky,Mikhail Nevsky
4621,5250,King of cooking,"Indie, Simulation"," Single-player, Family Sharing",2021-05-06,2.99,"0 - 20,000",52,Team EnE,Team EnE
4622,5251,E.x.p.l.o.r.: a new world,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-06-10,7.99,"0 - 20,000",57,Beem Media,Beem Media
4623,5253,Album corvus,"RPG, Early Access"," Single-player, Family Sharing",2021-05-21,12.99,"0 - 20,000",60,"""Devils Dozen Games""","""Devils Dozen Games"""
4624,5254,梦落凡尘,"Indie, RPG"," Single-player, Steam Cloud, Family Sharing",2021-05-25,0.49,"20,000 - 50,000",43,竹林晚风,冷笑黑妖
4625,5255,Contact me,"Indie, RPG"," Single-player, Family Sharing",2021-04-08,1.99,"0 - 20,000",26,NineStarWorks,NineStarWorks
4626,5256,Escape: underground,"Adventure, Indie"," Single-player, Full controller support, Family Sharing",2021-11-05,4.99,"0 - 20,000",38,Claudiu V.,Claudiu V.
4627,5257,Little shell's adventure,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-06-11,4.99,"0 - 20,000",37,Daegon Stam,Plasma Studios
4628,5258,Reconnect - the heart of darkness,"Strategy, Early Access"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-06-10,14.99,"0 - 20,000",79,RobotHeart Lab,RobotHeart Lab
4629,5259,Finding a prince: the game,"RPG, Strategy"," Single-player, Family Sharing",2021-07-15,4.99,"0 - 20,000",54,"""Gunshot Studios""","""Gunshot Studios"""
4630,5260,Tetrix 3d,"Casual, Indie"," Single-player, Family Sharing",2021-09-01,6.99,"0 - 20,000",86,brusnik.com,brusnik.com
4631,5261,Ziode shadow,"Indie, in Early Access"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",,9.99,"20,000 - 50,000",17,Middle Man Games,Middle Man Games
4632,5262,World of paranoia,"Indie, Strategy"," Single-player, Family Sharing",2021-09-06,6.99,"0 - 20,000",73,Lagartija Software,Lagartija Software
4633,5263,Cross numbers,"Indie, Strategy"," Single-player, Steam Achievements, Family Sharing",2021-06-30,3.99,"0 - 20,000",27,LonelyOcelot,LonelyOcelot
4634,5264,My time alive,"Indie, RPG"," Single-player, Steam Achievements, Family Sharing",2021-08-03,2.99,"0 - 20,000",50,Barty Games,Barty Games
4635,5265,Arcade drift,"Sports, Early Access"," Single-player, Family Sharing",2021-06-28,199.99,"0 - 20,000",27,EFatullaev,EFatullaev
4636,5266,Demonsions: industry,"Strategy, Early Access"," Single-player, Full controller support, Family Sharing",2021-04-22,2.99,"0 - 20,000",126,StarLight,Vyrulent
4637,5267,Chubby bear smash,"Casual, Indie"," Single-player, Family Sharing",2021-06-04,7.99,"0 - 20,000",27,Runnex Technology,Runnex Technology
4638,5268,Brian the brain,"Casual, Indie"," Single-player, Family Sharing",2021-06-03,0.99,"0 - 20,000",16,Richard Borges,Richard Borges
4639,5269,Zombaliens,"Indie, Early Access"," Single-player, Family Sharing",2021-07-19,15.99,"0 - 20,000",106,Sebastien Penverne,Sebastien Penverne
4640,5270,Humble zombie,"Indie, Simulation"," Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Family Sharing",2021-05-27,0.99,"20,000 - 50,000",24,SHIBO GAMES,SHIBO GAMES
4641,5271,Allura: curse of the mermaid,"Fr, Casual"," Single-player, Family Sharing",2021-05-19,5.09,"0 - 20,000",35,eFunsoft,HH-Games
4642,5272,Slime story,"Adventure, Indie"," Single-player, Steam Achievements, Family Sharing",2021-07-09,0.99,"0 - 20,000",16,★AlienRus★,"""Aliens Space"""
4643,5273,Ball ranger,"Indie, Early Access"," Single-player, Multi-player, Co-op, LAN Co-op, Family Sharing",2021-09-28,4.99,"0 - 20,000",21,o2o,o2o
4644,5274,Fei,"Fr, Indie"," Single-player, Family Sharing",2021-09-29,2.99,"0 - 20,000",65,瞌睡真的瞌睡,瞌睡真的瞌睡
4645,5275,Fishwitch halloween,"Casual, Indie"," Single-player, Full controller support, Steam Cloud, Family Sharing",2021-10-25,9.99,"0 - 20,000",22,Green Sauce Games,Green Sauce Games
4646,5277,Sniper road,"Indie, Simulation"," Single-player, Steam Achievements, Family Sharing",2021-11-24,0.99,"0 - 20,000",40,DONG GAMES,DONG GAMES
4647,5278,Notivr,"Utilities, Early Access"," Tracked Controller Support, VR Only",2021-11-22,6.99,"0 - 20,000",171,Matterworks Interactive,Matterworks Interactive
4648,5279,Temple of endless night,"Indie, RPG"," Single-player, Steam Cloud, Family Sharing",2021-11-12,5.99,"0 - 20,000",47,Hosted Games,Hosted Games
4649,5280,Crusade in europe,"Simulation, Strategy"," Single-player, Family Sharing",2021-11-30,6.99,"100,000 - 200,000",69,Microprose,Atari
4650,5281,Pixel game maker series medium-naut,"Action, Indie"," Single-player, Partial Controller Support, Family Sharing",2021-12-21,14.99,"0 - 20,000",134,Blue Boss,Gotcha Gotcha Games
4651,5282,The rise of tianling sect,"Simulation, Strategy"," Single-player, Family Sharing",2021-12-27,2.99,"0 - 20,000",47,yosan,yosan
4652,5283,Jet fighters with friends (multiplayer),"Fr, Simulation"," Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Partial Controller Support, Family Sharing",2021-12-29,0.99,"0 - 20,000",54,Archor Wright,Archor Games
4653,5284,Underwater wars,"Strategy, Early Access"," Single-player, Steam Achievements, Family Sharing",2021-05-10,7.99,"0 - 20,000",236,Dynamic Lab Studio,Dynamic Lab Studio
4654,5285,Planetariumvr,"Indie, Simulation"," Single-player, Tracked Controller Support, VR Only, Family Sharing",2021-12-17,5.99,"0 - 20,000",135,hublab,hublab
4655,5287,Maze banquet,"Adventure, Indie"," Single-player, Steam Achievements, Family Sharing",2021-08-09,8.99,"0 - 20,000",43,bongjicat(BLUE HOUR),bongjicat(BLUE HOUR)
4656,5288,Horned knight,"Action, Indie"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-02-26,5.99,"0 - 20,000",114,Josep Monzonis Hernandez,2Awesome Studio
4657,5289,Planetary control!,"Indie, Strategy"," Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Family Sharing",2021-03-18,4.99,"0 - 20,000",50,Kerberos Productions,Kerberos Productions
4658,5290,Roads of time 2: odyssey,"Fr, Casual"," Single-player, Family Sharing",2021-04-08,4.99,"0 - 20,000",42,GameOn Production,8floor
4659,5291,Dabado puzzles,"Adventure, Indie"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-06-29,9.99,"0 - 20,000",48,7Games,7Games
4660,5293,Retrowave road,"Indie, Racing"," Single-player, Family Sharing",2021-05-07,9.99,"0 - 20,000",44,deadworld games,deadworld games
4661,5294,Word wise,"Casual, Indie"," Single-player, Family Sharing",2021-04-01,2.99,"0 - 20,000",26,Chandler Charbonneau,Chandler Charbonneau
4662,5295,Wolf attack,"Casual, Indie"," Single-player, Multi-player, PvP, Online PvP, Tracked Controller Support, VR Only, Family Sharing",2021-09-06,9.99,"0 - 20,000",38,TOMATOVR,TOMATOVR
4663,5296,Dressmaker pro,"Design & Illustration, Game Development", ,2021-07-15,54.99,"0 - 20,000",204,Suzuki Cecil,"Dream Factory Co.,Ltd."
4664,5297,A strange hotel,"Adventure, Casual"," Single-player, Full controller support, Steam Cloud, Family Sharing",2021-06-30,1.99,"0 - 20,000",32,EmInSpace,EmInSpace
4665,5298,Survival z,"Fr, Action"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-04-26,14.99,"0 - 20,000",126,Ember Entertainment,Ember Entertainment
4666,5299,Welcome to lakewood,"Adventure, Indie"," Single-player, Family Sharing",2021-06-17,0.99,"200,000 - 500,000",28,Space Slug Studios,Space Slug Studios
4667,5300,Beat defender,"Indie, Early Access"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-07-16,4.99,"0 - 20,000",25,Nick,Reda
4668,5301,Soccer cup solitaire,"Fr, Casual"," Single-player, Family Sharing",2021-07-25,4.79,"0 - 20,000",28,AnaWiki Games,HH-Games
4669,5302,Paladin dream,"Indie, RPG"," Single-player, Steam Achievements, Family Sharing",2021-07-12,4.99,"0 - 20,000",148,HitherYon Games,Meridian4
4670,5303,I love finding pups,"Fr, Casual"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-10-17,9.99,"0 - 20,000",27,Tiny Little Lion,Boomzap Inc
4671,5304,Cage-face | case 2: the sewer,"Adventure, Indie"," Single-player, Steam Achievements, Family Sharing",2021-10-25,1.99,"0 - 20,000",77,Alex Olinkiewicz,A.O.Games
4672,5305,畢業生模擬器,"Fr, RPG"," Single-player, Family Sharing",2021-12-02,7.99,"0 - 20,000",112,Rico Indie Game,Rico Indie Game
4673,5306,The infecting 3,"Action, Indie"," Single-player, Family Sharing",2021-11-30,6.99,"0 - 20,000",20,Immure Creations®,Immure Creations®
4674,5308,Shoot 'm up,"Indie, in Early Access"," Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Captions available, Steam Cloud, Stats, Includes level editor, Family Sharing",,5.99,"0 - 20,000",279,DukeSoft,DukeSoft
4675,5309,Pangman,"Casual, Indie"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Tracked Controller Support, VR Only, Steam Cloud, Steam Leaderboards, Family Sharing",2021-04-27,11.99,"0 - 20,000",92,Ivanovich Games,Ivanovich Games
4676,5310,Fighting for justice episode 1,"Adventure, Casual"," Single-player, Family Sharing",2021-11-08,0.99,"0 - 20,000",16,Bruno Queiroz,Rocha Village Games
4677,5311,In the house of silence,"Indie, Strategy"," Single-player, Family Sharing",2021-05-10,14.99,"0 - 20,000",117,Kai Ruma Games,Kai Ruma Games
4678,5312,Shards of feyra,"RPG, Strategy"," Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Leaderboards, Family Sharing",2021-01-10,0.99,"20,000 - 50,000",186,Feyra Online,Feyra Online
4679,5313,Happy valentine's day,"Indie, Strategy"," Single-player, Family Sharing",2021-01-18,1.99,"0 - 20,000",64,玫瑰工作室,玫瑰工作室
4680,5314,Voxel battle simulator,"Simulation, Strategy"," Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Remote Play Together, Family Sharing",2021-04-29,9.99,"0 - 20,000",135,ROOKIEZ FROM WARSAW,ROOKIEZ FROM WARSAW
4681,5315,Cooking: around the world,"Casual, Indie"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-02-26,4.99,"0 - 20,000",66,Gábor Présinger,Gábor Présinger
4682,5316,大头侏罗纪,"Casual, Indie"," Single-player, Family Sharing",2021-02-25,1.99,"0 - 20,000",56,CAOLEI,CAOLEI
4683,5317,Cuberpunk 2090,"Adventure, Indie"," Single-player, Steam Achievements, Family Sharing",2021-04-27,12.99,"0 - 20,000",47,Brouillard,Brouillard
4684,5318,Hyper dungeon crawler,"RPG, Strategy"," Single-player, Partial Controller Support, Family Sharing",2021-07-31,6.99,"0 - 20,000",162,Tony Wang,Tony Wang
4685,5319,Blood for poppies,"Indie, RPG"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-08-19,5.99,"20,000 - 50,000",37,Hosted Games,Hosted Games
4686,5320,Sacred cubes 2,"Casual, Indie"," Single-player, Steam Achievements, Family Sharing",2021-05-03,2.19,"0 - 20,000",62,Louie Inc,Louie Inc
4687,5321,Desperation,"Massively Multiplayer, Early Access"," Single-player, Multi-player, MMO, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Family Sharing",2021-05-14,4.99,"50,000 - 100,000",127,EXBOTS,EXBOTS
4688,5322,Pandora : wild origins,"Simulation, Early Access"," Single-player, Family Sharing",2021-09-10,18.99,"0 - 20,000",208,Luneria Studio,Luneria Studio
4689,5323,The elysian field,"Casual, Indie"," Single-player, Family Sharing",2021-08-06,1.99,"0 - 20,000",31,Faizaan Alam,Faizaan Alam
4690,5324,Vortex rolling,"Simulation, Sports"," Single-player, Family Sharing",2021-06-14,0.99,"0 - 20,000",22,INFINITE BRIDGE,INFINITE BRIDGE
4691,5325,Toilet paper wants to be a basketball,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",2021-06-17,2.99,"0 - 20,000",55,KIMIDORI SOFT,KIMIDORI SOFT
4692,5326,Evan quest,"Fr, Action"," Single-player, Partial Controller Support, Family Sharing",2021-09-17,0.99,"0 - 20,000",44,Archor Wright,Archor Games
4693,5327,Hotgirls sliding puzzle,"Casual, Indie"," Single-player, Steam Achievements, Steam Leaderboards, Family Sharing",2021-09-08,1.19,"0 - 20,000",32,LineArtBabe,DIG Publishing
4694,5328,周松传,"RPG, Strategy"," Single-player, Family Sharing",2021-10-04,0.99,"0 - 20,000",106,周松传工作室,周松传工作室
4695,5329,Don't run out of soda,"Action, Indie"," Single-player, Steam Achievements, Family Sharing",2021-10-08,4.99,"0 - 20,000",41,"""Ramas Horrors""","""Ramas Horrors"""
4696,5330,Puzzle art: reptiles,"Fr, Indie"," Single-player, Steam Achievements, Family Sharing",2021-10-26,1.99,"0 - 20,000",28,My Label Game Studio,My Label Game Studio
4697,5331,Nakornsampan,"Indie, Strategy"," Single-player, Steam Achievements, Steam Workshop, Partial Controller Support, Steam Cloud, Stats, Family Sharing",2021-12-18,1.99,"0 - 20,000",57,MakhamDev,MakhamDev
4698,5332,Ice sugar,"Fr, Casual"," Single-player, Family Sharing",2021-12-01,0.99,"0 - 20,000",22,Kedexa,Kedexa
4699,5333,Lawnmower city,"Fr, Action"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing",2021-12-14,1.19,"50,000 - 100,000",44,NanningsGames,NanningsGames
4700,5334,Exsanguinate,"Action, Adventure"," Single-player, Family Sharing",2021-12-29,1.99,"0 - 20,000",110,Tainted Pact,Tainted Pact
4701,5335,Physics cake,"Simulation, in Early Access"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",,0.99,"0 - 20,000",32,Merriman Games,Merriman Games
4702,5336,Z-blood mission,"Indie, Early Access"," Single-player, Family Sharing",2021-01-15,2.99,"0 - 20,000",55,Hot Code Games,Hot Code Games
4703,5337,Halloween night mahjong,"Fr, Casual"," Single-player, Family Sharing",2021-01-31,4.99,"0 - 20,000",35,Creobit,8floor
4704,5338,废土黄昏 dusk of the wasteland age,"Indie, Early Access"," Single-player, Family Sharing",2021-02-18,2.99,"0 - 20,000",59,香蜂草,香蜂草
4705,5339,Chef's tail,"Casual, Indie"," Single-player, Steam Achievements, Family Sharing",2021-10-22,2.24,"0 - 20,000",199,Art Games Studio S.A.,Art Games Studio S.A.
4706,5340,Robonauts,"Adventure, Indie"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Family Sharing",2021-09-09,3.99,"50,000 - 100,000",133,QubicGames S.A.,Untold Tales
4707,5341,Skeleton wave,"Casual, Indie"," Single-player, Family Sharing",2021-05-04,0.99,"0 - 20,000",27,FunnyKids,FunnyKids
4708,5342,80s volleyball,"Indie, Sports"," Single-player, Steam Achievements, Family Sharing",2021-06-03,0.99,"0 - 20,000",39,Igor Ayello Borges,Igor Ayello Borges
4709,5343,Retro tank party,"Action, Casual"," Multi-player, PvP, Online PvP, Partial Controller Support, Family Sharing",2021-04-20,1.99,"0 - 20,000",31,Snopek Games,Snopek Games
4710,5344,World of bombs,"Sports, Strategy"," Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Remote Play Together, Family Sharing",2021-08-18,0.99,"0 - 20,000",20,Kedexa,Kedexa
4711,5345,Beyond the gates,"Indie, Early Access"," Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Family Sharing",2021-07-22,4.99,"0 - 20,000",39,Chonky Games,Chonky Games
4712,5346,The far kingdoms: hidden magic,"Fr, Casual"," Single-player, Family Sharing",2021-04-21,4.99,"20,000 - 50,000",44,Lazy Turtle Games,HH-Games
4713,5347,Zerochance,"Casual, Indie"," Single-player, Family Sharing",2021-04-23,1.99,"0 - 20,000",31,Tamashii,Tamashii
4714,5348,The adventures of mr. poop,"Adventure, Indie"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Remote Play Together, Family Sharing",2021-05-14,1.99,"0 - 20,000",26,BOGILOM,BOGILOM
4715,5349,Detective rosie morgan: murder on the river thames,"Casual, Indie"," Single-player, Steam Achievements, Family Sharing",2021-06-04,5.99,"0 - 20,000",228,Little Black Book Entertainment,Little Black Book Entertainment
4716,5350,1001 jigsaw detective,"Fr, Casual"," Single-player, Family Sharing",2021-08-16,4.99,"0 - 20,000",23,Somer Games,8floor
4717,5351,Splash jump,"Fr, Casual"," Single-player, Family Sharing",2021-08-02,0.99,"0 - 20,000",16,Crewxaa,Crewxaa
4718,5352,Tarakan - mystery point & click adventure,"Casual, Indie"," Single-player, Family Sharing",2021-09-18,6.99,"50,000 - 100,000",38,M9 Games,M9 Games
4719,5353,Fantasy sliding puzzle 2,"Casual, Indie"," Single-player, Steam Achievements, Steam Leaderboards, Family Sharing",2021-09-16,2.99,"0 - 20,000",37,Lolita LineArt,DIG Publishing
4720,5354,Succubus runa and the erotic dungeon,"Fr, RPG"," Single-player, Full controller support, Steam Cloud, Family Sharing",2021-11-05,9.99,"0 - 20,000",651,藤札,WASABI entertainment
4721,5355,Lawnmower game: space fight,"Casual, Indie"," Single-player, Steam Achievements, Family Sharing",2021-10-26,0.59,"0 - 20,000",22,Tero Lunkka,Valkeala Software
4722,5356,Voxel farm island,"RPG, Simulation"," Single-player, Multi-player, Family Sharing",2021-10-28,7.99,"0 - 20,000",166,LQ-GAME,LQ-GAME
4723,5357,Palphone-sama : curse call,"Fr, Adventure"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-12-08,5.99,"0 - 20,000",84,HIJIKI,Gotcha Gotcha Games
4724,5358,Starvoly,"RPG, Simulation"," Single-player, Family Sharing",2021-03-14,14.99,"0 - 20,000",147,Zeratd Gaming,Zeratd Gaming
4725,5359,After shadows,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-10-21,14.99,"0 - 20,000",232,Insidious Games,Insidious Games
4726,5360,时空梦魇ⅰ代号608,"Simulation, Strategy"," Single-player, Family Sharing",2021-08-23,6.99,"50,000 - 100,000",125,Clock In Dream,Clock In Dream
4727,5361,Star fighter,"RPG, Simulation"," Single-player, Family Sharing",2021-10-01,0.99,"0 - 20,000",86,Boom Games,Boom Games
4728,5362,Defense tower simulator,"Simulation, Strategy"," Single-player, Family Sharing",2021-06-05,1.99,"0 - 20,000",34,CoolCraftGames,CoolCraftGames
