,Unnamed: 0,Name,Genre,Category,Release_Date,Price (in $),Owners,Followers,Developers,Publishers
1775,2239,Memories of war undead decimation,"Fr, Action"," Single-player, Multi-player, Co-op, Online Co-op, Family Sharing",2021-12-01,14.99,"0 - 20,000",30,Tragedy Studios,Tragedy Studios
1776,2240,Red brick hotel,"Action, Indie"," Single-player, Family Sharing",2021-08-10,2.99,"0 - 20,000",22,Avis Games,Avis Games
1777,2241,Space x collector,"Casual, Indie"," Single-player, Family Sharing",2021-09-01,9.99,"0 - 20,000",9,HEG Games,Endless Games
1778,2242,Steel rain - dawn of the machines,"Action, Indie"," Single-player, Family Sharing",2021-10-22,2.99,"0 - 20,000",72,BIG4 Game Studio,BIG4 Game Studio
1779,2244,Potion meister,"Simulation, in Early Access"," Single-player, Multi-player, Co-op, Online Co-op, Family Sharing",,3.99,"0 - 20,000",43,Hershul Games,Hershul Games
1780,2245,Piano practice,"Fr, Software Training", ,2021-05-17,9.99,"0 - 20,000",54,gentome,gentome
1781,2246,Number game:24 points,"Indie, Strategy"," Single-player, Family Sharing",2021-04-01,0.99,"0 - 20,000",18,KuangHe Games,KuangHe INT
1782,2247,Hunter girl,"Action, Adventure"," Single-player, Family Sharing",2021-04-04,0.99,"0 - 20,000",13,Susan,Susan
1783,2248,Pro pain labs,"Fr, Indie"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-08-17,1.99,"0 - 20,000",13,Method 9 Software,Method 9 Software
1784,2249,Arboreal,"Simulation, Strategy"," Single-player, Family Sharing",2021-12-01,7.99,"0 - 20,000",125,Coreloop,Coreloop
1785,2250,Bacteria wars,"Strategy, Early Access"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-08-25,9.99,"0 - 20,000",22,Patrick McGuinness,Patrick McGuinness
1786,2251,Debie zone,"Casual, Indie"," Single-player, Partial Controller Support, Family Sharing",2021-09-03,0.99,"0 - 20,000",28,Archor Wright,Archor Games
