Name,Genre,Category,Release_Date,Price (in $),Followers,Developers,Publishers,Ownership_Midpoint
Struggle for talyria,"Indie, RPG"," Single-player, Steam Achievements, Partial Controller Support, Family Sharing",2021-07-02,4.99,97,Scalding Soup Studios,Scalding Soup Studios,10000.0
Train chase,"Indie, Sports"," Single-player, Steam Achievements, Full controller support, Tracked Controller Support, VR Supported, Family Sharing",2021-05-27,6.99,29,Rhine Games,Rhine Games,10000.0
The crafter's defense,"Indie, Strategy"," Single-player, Steam Achievements, Stats, Family Sharing",2021-11-18,9.99,43,Dapper Duck Software,LLC,10000.0
Task: 312,"Indie, Simulation"," Single-player, Family Sharing",2021-08-25,1.99,30,qDev,qDev,10000.0
Slime's revenge,"Indie, RPG"," Single-player, Steam Achievements, Partial Controller Support, Family Sharing",2021-06-10,2.99,30,Evilkookey Games,Evilkookey Games,10000.0
Cratetastrophe,"Indie, Strategy"," Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing",2021-04-07,1.99,16,Starstrike Studios,Starstrike Studios,75000.0
Canary in a crater,"Indie, Simulation"," Single-player, Steam Achievements, Family Sharing",2021-05-18,2.99,28,Iron Moose Development,Iron Moose Development,10000.0
Easter riddles,"Fr, Casual"," Single-player, Family Sharing",2021-04-13,4.99,23,Creobit,8floor,10000.0
Deep madness,"Casual, Strategy"," Single-player, Steam Achievements, Family Sharing",2021-08-31,1.99,12,domsse interactive,domsse interactive,10000.0
Woodheart,"RPG, Strategy"," Single-player, Steam Achievements, Partial Controller Support, Family Sharing",2021-08-20,4.99,89,Remake Games Studios,Remake Games Studios,10000.0
3d double dealing character,"Indie, RPG"," Single-player, Tracked Controller Support, VR Supported, Partial Controller Support, Family Sharing",2021-09-30,14.99,119,ST.Games同人游戏社团,ST.Games同人游戏社团,150000.0
Omnia,"Casual, Indie"," Single-player, Family Sharing",2021-08-16,1.99,24,99lab,Terapia Afetiva,10000.0
Wood brothers flying colours,"Simulation, Early Access"," Multi-player, PvP, Online PvP, Full controller support, Tracked Controller Support, VR Only, Family Sharing",2021-09-03,5.99,55,Baawolf,Baawolf,10000.0
Elementary anatomy: with story mode,"Fr, Education"," Tracked Controller Support, VR Only",2021-04-19,9.99,83,Virtual Medicine,Virtual Medicine,10000.0
Emperium,"RPG, Strategy"," Single-player, Partial Controller Support, Family Sharing",2021-04-27,0.99,32,Emperium Team,Emperium Team,10000.0
Mini island: summer,"Casual, Indie"," Single-player, Partial Controller Support, Family Sharing",2021-04-30,2.99,101,MACKINN7,MACKINN7,10000.0
Spooky mahjong,"Fr, Casual"," Single-player, Family Sharing",2021-05-23,4.99,24,Jet Fundo,8floor,10000.0
Tower of wishes: match 3 puzzle,"Fr, Casual"," Single-player, Steam Achievements, Family Sharing",2021-05-03,7.99,26,Ironcode Gaming,Ironcode Gaming,10000.0
Little fighters on stream,"Massively Multiplayer, Early Access"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Family Sharing",2021-05-03,2.99,63,TEAM Black Hat Robot,TEAM Black Hat Robot,10000.0
Alice's jigsaw time travel 2,"Fr, Casual"," Single-player, Family Sharing",2021-07-07,4.99,23,Somer Games,8floor,10000.0
Home office,"Fr, Casual"," Single-player, Family Sharing",2021-07-08,0.99,49,UnderLight,UnderLight,10000.0
Dot dash dot,"Action, Casual"," Single-player, Family Sharing",2021-07-21,1.99,36,Organic Games,Organic Games,10000.0
Action commando 2,"Action, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-07-27,4.99,63,BlueEagle Productions,Paul Schneider,35000.0
Smirkers,"Casual, Strategy"," Single-player, Family Sharing",2021-06-29,29.99,9,Smirkers,Smirkers,10000.0
Silent night - a christmas delivery,"Fr, Action"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-12-01,4.99,38,Oneiric Worlds,Oneiric Worlds,10000.0
Mystery solitaire grimm's tales 3,"Fr, Casual"," Single-player, Family Sharing",2021-07-22,4.99,26,Somer Games,8floor,10000.0
The witch doctor,"Indie, RPG"," Single-player, Partial Controller Support, Family Sharing",2021-07-29,6.99,86,Valkyria Games,Aldorlea Games,10000.0
Armada,"Indie, Early Access"," Multi-player, PvP, Online PvP, Family Sharing",2021-08-09,0.99,16,Game Fruit,Game Fruit,10000.0
Azurael’s circle: chapter 5,"Indie, RPG"," Single-player, Family Sharing",2021-07-24,1.99,20,Jordan Allen,Enkian Games,35000.0
New supper banana!,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-12-15,3.99,22,Pikku-a,Pikku-a,10000.0
Ultra boat game!!!,"Racing, Sports"," Single-player, Family Sharing",2021-07-02,1.99,13,Tamashii,Tamashii,10000.0
G-modeアーカイブス28 セパスチャンネル,"Fr, RPG"," Single-player, Steam Cloud, Family Sharing",2021-07-26,4.99,91,G-MODE,G-MODE,10000.0
Car wash td - tower defense,"Indie, Strategy"," Single-player, Family Sharing",2021-12-29,9.99,62,Adam Atamnia,Adam Atamnia,10000.0
Dark light,"Indie, Strategy"," Single-player, Family Sharing",2021-10-01,9.99,28,b2studios,b2studios,10000.0
Timescape: altitude,"Simulation, Strategy"," Single-player, Steam Achievements, Tracked Controller Support, VR Only, Family Sharing",2021-11-19,12.99,50,Dowrick Games,Dowrick Games,10000.0
Atria-1,"Indie, Early Access"," Single-player, Family Sharing",2021-11-30,4.99,70,Charge Game Studio, Charge Game Studio,10000.0
Cat fish island,"Casual, Indie"," Single-player, Steam Achievements, Family Sharing",2021-11-23,4.99,21,RedZyrro,RedZyrro,10000.0
Rubicon : a conspiracy of silence,"Adventure, Indie"," Single-player, Family Sharing",2021-10-20,9.99,126,La Belle Games, La Belle Games,35000.0
Power pushout,"Indie, Strategy"," Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Partial Controller Support, Includes level editor, Family Sharing",2021-12-17,7.99,65,Christian Kahler,Christian Kahler,10000.0
Quizpoker: mix of quiz and poker,"Fr, Casual"," Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Stats, Family Sharing",2021-12-08,5.99,17,Siwalu,Siwalu,10000.0
Kingdom of dinza,"Indie, RPG"," Single-player, Steam Achievements, Steam Leaderboards, Family Sharing",2021-12-22,7.99,92,Starstrike Studios,Starstrike Studios,10000.0
贸易与马车,"Indie, RPG"," Single-player, Family Sharing",2021-12-16,2.99,79,SiTong Tech,SiTong Tech,10000.0
Why pizza?,"Fr, Action"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-06-02,18.99,94,Marginal act,Woo Foo Games,10000.0
Marbleous blocks,"Fr, Indie"," Single-player, Steam Achievements, Family Sharing",2021-01-27,6.99,22,Pixleon,Pixleon,10000.0
Niinamigota,"RPG, in Early Access"," Single-player, Steam Achievements, Family Sharing",,3.99,44,Kadokawa Future Publishing,Enterbrain,10000.0
Ghost opera house 剧院魅影,"Simulation, Strategy"," Single-player, Tracked Controller Support, VR Only, Family Sharing",2021-01-01,9.99,34,Jian Ou,Jian Ou,10000.0
Hamster logic 3d,"Casual, Indie"," Single-player, Steam Achievements, Family Sharing",2021-06-26,0.99,15,Shoho Games,Shoho Games,10000.0
