Name,Genre,Category,Release_Date,Price (in $),Followers,Developers,Publishers,Ownership_Midpoint
Dwarves craft. father's home,"Fr, Casual"," Single-player, Family Sharing",2021-05-24,5.99,16,DigiMight,DigiMight,10000.0
Car looper,"Racing, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Stats, Family Sharing",2021-07-27,5.99,16,Yannick Laubscher,Snotax Games,10000.0
Thrilling triple treat,"Casual, Indie"," Single-player, Full controller support, Family Sharing",2021-03-07,9.99,32,ERMedia,Plug In Digital,10000.0
Lux mina,"RPG, Early Access"," Single-player, Steam Achievements, Steam Cloud, Stats, Family Sharing",2021-04-11,9.99,20,JOIS Games,JOIS Games,10000.0
A mysterious gallery,"Casual, Indie"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-04-26,6.99,22,M.R. Games,M.R. Games,10000.0
Lair hockey,"Indie, Simulation"," Single-player, Steam Achievements, Family Sharing",2021-04-12,4.99,35,Never Written Games,Never Written Games,10000.0
Super huey 1 & 2 airdrop,"Action, Simulation"," Single-player, Family Sharing",2021-04-27,9.99,45,Big Boat Interactive,Ziggurat,10000.0
Jpn burst,"Simulation, Early Access"," Single-player, Steam Achievements, Family Sharing",2021-05-14,4.99,31,Thomas Ngo,Thomas Ngo,10000.0
Stuck together,"Indie, Early Access"," Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Partial Controller Support, Remote Play Together, Family Sharing",2021-07-20,3.99,22,Digital Pine Studios,Digital Pine Studios,10000.0
Songs of armageddopolis,"Adventure, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-11-18,4.99,37,Team Mariupolis,Xitilon,10000.0
2 synchro hedgehogs,"Fr, Indie"," Single-player, Family Sharing",2021-09-07,4.99,18,grin robot,grin robot,10000.0
Station 17,"Fr, Indie"," Single-player, Steam Achievements, Family Sharing",2021-08-31,4.99,31,Ginger Tree Games,Ginger Tree Games,35000.0
Ada and cal,"Casual, Indie"," Single-player, Steam Achievements, Family Sharing",2021-08-28,2.99,10,Antarsoft,Antarsoft,10000.0
Zen landscape editor,"Fr, Casual"," Single-player, Remote Play Together, Family Sharing",2021-05-17,4.99,66,Cartboard Games,Cartboard Games,10000.0
Gustav vasa: adventures in the dales,"Indie, Racing"," Single-player, Family Sharing",2021-06-01,4.79,18,Crystalyrian Games,Crystalyrian Games,10000.0
Monkey hit,"Adventure, Indie"," Single-player, Family Sharing",2021-05-15,6.99,20,QuickBobber,QuickBobber,10000.0
Cleithrophobia,"Adventure, Indie"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-11-03,5.99,23,WillyHB,WillyHB,10000.0
G-modeアーカイブス09 フライハイトクラウディア2,"Fr, RPG"," Single-player, Steam Cloud, Family Sharing",2021-05-24,4.99,73,G-MODE,G-MODE,10000.0
Altruism,"Fr, Adventure"," Single-player, Steam Achievements, Full controller support, Stats, Steam Leaderboards, Family Sharing",2021-05-14,3.99,22,Adam Bond,Adam Bond,10000.0
Akinofa,"Action, Indie"," Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing",2021-07-15,4.99,41,Pixel Lantern,Pixel Lantern,10000.0
Ele-mental,"Action, Indie"," Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Stats, Steam Leaderboards, Includes level editor, Remote Play Together, Family Sharing",2021-06-01,11.99,20,Hyper Thetical Games,Hyper Thetical Games,35000.0
Endless furry asteroids,"Indie, Strategy"," Single-player, Steam Achievements, Steam Leaderboards, Family Sharing",2021-04-12,0.49,25,Tegridy Made Games,Tegridy Made Games,10000.0
Race - total toon race,"Simulation, Sports"," Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Partial Controller Support, Family Sharing",2021-04-09,1.99,20,Andreas Otten,Andreas Otten,10000.0
Code lab（代码实验室）,"Simulation, Strategy"," Single-player, Family Sharing",2021-05-03,2.99,53,Ardyn,Ardyn,10000.0
Spirit bounce,"Indie, Early Access"," Single-player, Steam Achievements, Steam Workshop, Includes level editor, Family Sharing",2021-06-28,7.99,38,ChrisBSM,ChrisBSM,35000.0
Monster in the dark,"Fr, Indie"," Single-player, Family Sharing",2021-05-16,1.0,40,BYVOP ,Prizyik Bognan,75000.0
Lotto life,"Indie, Simulation"," Single-player, Family Sharing",2021-10-15,9.99,31,Nuvya Dutt Sharda,Single Cell Productions,10000.0
Scientific shutdown,"Fr, Action"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Partial Controller Support, Family Sharing",2021-07-31,11.99,40,Define Logic Studios,Define Logic Studios,10000.0
Veg out crew,"Indie, Early Access"," Single-player, Family Sharing",2021-07-16,2.99,20,Guy Kimpton,Guy Kimpton,10000.0
Dominant mind,"Fr, Casual"," Single-player, Steam Achievements, Steam Leaderboards, Family Sharing",2021-05-18,1.99,39,Peaksel,Peaksel,10000.0
The girl who sees,"Indie, RPG"," Single-player, Captions available, Family Sharing",2021-06-11,8.99,38,InterIntellectus NFP,InterIntellectus NFP,75000.0
Tatarian aster,"Adventure, Indie"," Single-player, Family Sharing",2021-04-06,3.99,26,ChaosSaltDev,ChaosSaltDev,10000.0
Fight for that ball,"Indie, Sports"," Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Partial Controller Support, Steam Cloud, Remote Play Together, Family Sharing",2021-05-19,9.99,26,Beardman Studios,Beardman Studios,10000.0
Little monkeys eat bananas,"Casual, Indie"," Single-player, Family Sharing",2021-04-07,4.99,16,Amendment 2 Studios,Amendment 2 Studios,10000.0
Helix,"Action, Indie"," Single-player, Steam Achievements, Family Sharing",2021-07-09,4.99,16,coco3908,Cosmo Corner,10000.0
Goblins!,"Action, Strategy"," Single-player, Full controller support, Family Sharing",2021-03-31,4.99,31,Polygon Dust Entertainment Ltd.,Polygon Dust Entertainment Ltd.,10000.0
Iterria zone,"Indie, Early Access"," Single-player, Family Sharing",2021-03-06,9.99,62,Artem W,Artem W,10000.0
The architect's game,"Indie, Early Access"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Family Sharing",2021-09-17,4.99,58,SelianiDEV,SelianiDEV,10000.0
Dance with me,"Simulation, Sports"," Single-player, Family Sharing",,7.99,55,Tarnaki Technology,Tarnaki Technology,10000.0
Vr plant journey,"Indie, Simulation"," Single-player, Tracked Controller Support, VR Only, Family Sharing",2021-06-19,4.99,41,Breakpoint One GmbH,Leibniz-Institut für Pflanzengenetik und Kulturpflanzenforschung,10000.0
The chronicler,"RPG, Early Access"," Single-player, Family Sharing",2021-06-02,6.99,179,O.N. Arts and Games,O.N. Arts and Games,10000.0
Abridged,"Casual, Strategy"," Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Partial Controller Support, Remote Play Together, Family Sharing",2021-08-10,1.99,19,exaltedjoss27,exaltedjoss27,10000.0
Kooringvr wonderland:red queen's black magic,"Casual, Indie"," Single-player, Tracked Controller Support, VR Only, Family Sharing",2021-09-14,29.99,34,VRANI inc.,VRANI inc.,10000.0
Tar alterra adventure game,"Adventure, Casual"," Single-player, Family Sharing",2021-08-30,4.99,22,Tonkan Veed Games,Tom Fegert LLC,35000.0
Nikhil murthy's syphilisation,"Strategy, Early Access"," Single-player, Family Sharing",2021-08-17,14.99,164,Why Not Games,Why Not Games,10000.0
Lingering legacy,"Indie, RPG"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-08-15,9.99,76,AshuriiYuki Productions,AshuriiYuki Productions,10000.0
Shirokuro's adventure,"Action, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-08-20,3.99,31,kinetworks,kinetworks,10000.0
Weapons knight,"Indie, Strategy"," Single-player, Steam Achievements, Family Sharing",2021-08-20,1.99,14,MochaDev,Mocha Games,10000.0
Mecha tactics,"Fr, Strategy"," Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Family Sharing",2021-06-28,3.99,34,Nullio Games,Nullio Games,35000.0
Where's my lunch?!,"Action, Strategy"," Single-player, Family Sharing",2021-09-18,4.99,21,Magic Dragon Games,Magic Dragon Games,10000.0
Surface: virtual detective collector's edition,"Adventure, Casual"," Single-player, Family Sharing",2021-08-20,9.99,46,Elephant Games,Big Fish Games,10000.0
To kill a king,"Fr, RPG"," Single-player, Steam Achievements, Full controller support, Family Sharing",2021-06-25,4.99,24,1SiGn Games,1SiGn Games,10000.0
Killer gin battle arcade,"Indie, Early Access"," Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Remote Play Together, Family Sharing",2021-08-18,9.99,17,The Killer Gin,The Killer Gin,10000.0
Light up the room,"Casual, Indie"," Single-player, Steam Achievements, Family Sharing",2021-11-03,4.99,15,Nickolas Machado,Nickolas Machado,10000.0
Rocket cave adventure,"Indie, Early Access"," Single-player, Full controller support, Remote Play Together, Family Sharing",2021-04-29,4.99,22,boxedworks,boxedworks,10000.0
Coalhero,"Adventure, RPG"," Single-player, Family Sharing",2021-06-29,0.99,65,逼囉啵囉逼,Light of Creators,35000.0
Trial of two,"Fr, Action"," Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Family Sharing",2021-12-23,8.99,36,Oilcatz,Oilcatz,10000.0
Wavetiles,"Casual, Indie"," Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Full controller support, Remote Play Together, Family Sharing",2021-08-13,9.99,30,WhoCares Games,WhoCares Games,10000.0
Player city,"Indie, Simulation"," Single-player, Steam Achievements, Family Sharing",2021-07-09,11.99,17,Leandro César Menzen,Menzen Produções,10000.0
Ark of loif,"Indie, RPG"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",2021-09-07,23.0,43,1/2ofOctahedron,1/2ofOctahedron,35000.0
Multia space program,"Adventure, Simulation"," Single-player, Family Sharing",2021-09-01,0.99,35,Crazy Dog Games Tmi,Crazy Dog Games Tmi,10000.0
Chromatic labyrinth,"Action, Indie"," Single-player, Family Sharing",2021-04-30,1.99,11,LVTomDesign,LVTomDesign,10000.0
Metaverse: origins,"Strategy, Early Access"," Single-player, Family Sharing",2021-05-17,9.99,186,Penumbra.tech,Penumbra.tech,10000.0
Opa definitive edition,"Casual, Indie"," Single-player, Steam Achievements, Family Sharing",2021-04-27,2.99,23,JohnDann,Cubko,10000.0
Slordax: the unknown enemy,"Fr, Action"," Single-player, Family Sharing",2021-05-07,6.99,53,Softdisk,Ziggurat,10000.0
Solitaire victorian picnic 2,"Fr, Casual"," Single-player, Family Sharing",2021-05-09,4.99,28,Somer Games,8floor,10000.0
Astralis,"Fr, Action"," Single-player, Family Sharing",2021-04-28,2.99,40,Vizek,Vizek,75000.0
Artpuzzle vr,"Indie, Simulation"," Single-player, Tracked Controller Support, VR Only, Family Sharing",2021-07-09,9.99,24,ART2.team,ART2.team,10000.0
Barbaros,"Indie, Early Access"," Single-player, Family Sharing",2021-05-05,3.99,50,Indie Developer,Indie Developer,10000.0
Chrome switcher,"Fr, Indie"," Single-player, Family Sharing",2021-06-11,4.99,17,PixelSteel Studios,PixelSteel Studios,10000.0
Keezeh the spector of time,"Indie, RPG"," Single-player, Family Sharing",2021-05-02,2.99,"1,293",rabbani prottoy,chalidus,10000.0
Woebegone woods,"Indie, Strategy"," Single-player, Family Sharing",2021-05-07,4.99,26,Woebegone Interactive LLC,Woebegone Interactive LLC,35000.0
Lords of the darkreign,"Strategy, Early Access"," Single-player, Family Sharing",2021-07-20,4.99,36,Rev21,Rev21,35000.0
Frogiee,"Casual, Indie"," Single-player, Family Sharing",2021-04-15,3.99,15,Thomas Lauridsen,Greasy Elephant,10000.0
Marionette lab,"Action, Indie"," Single-player, Steam Achievements, Partial Controller Support, Family Sharing",2021-06-21,0.99,26,Ununennium Games,Ununennium Games,10000.0
Rescue friends solitaire,"Fr, Casual"," Single-player, Family Sharing",2021-07-20,5.99,21,DigiMight,DigiMight,10000.0
Super techpack,"Action, Indie"," Single-player, Steam Achievements, Partial Controller Support, Family Sharing",2021-07-01,4.99,16,Techpack,Techpack,10000.0
Dream catchers,"Casual, Indie"," Single-player, Tracked Controller Support, VR Only, Family Sharing",2021-04-21,0.99,34,AlimoliStudio,AlimoliStudio,35000.0
Spacey vade,"Casual, Indie"," Single-player, Full controller support, Family Sharing",2021-11-01,4.99,13,Brown Bot,Brown Bot,10000.0
R-naught,"Indie, RPG"," Single-player, Steam Achievements, Family Sharing",2021-11-23,0.99,31,Jirapher,G-Bean Studios,10000.0
G-modeアーカイブス15 ちゅら島暮らし,"Fr, Simulation"," Single-player, Steam Cloud, Family Sharing",2021-08-09,4.99,45,G-MODE,G-MODE,10000.0
Star chaser in sea world,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing",2021-07-20,0.99,18,TamTamGames,TamTamGames,10000.0
The adventures of herbie & katt lechatt,"Fr, Adventure"," Single-player, Family Sharing",2021-07-17,2.99,30,Gui Zen Games,Gui Zen Games,10000.0
Adventures of human being,"Adventure, Indie"," Single-player, Full controller support, Family Sharing",2021-07-28,5.99,19,RK Jain,RK Jain,10000.0
Battle rollers,"Indie, Strategy"," Single-player, Family Sharing",2021-06-18,4.99,16,Amethyst Ram Studios,Amethyst Ram Studios,10000.0
Football bus battle 2021,"Racing, Sports"," Single-player, Steam Achievements, Partial Controller Support, Stats, Family Sharing",2021-06-28,1.99,29,BuffGames,BuffGames,10000.0
Freddy frog,"Action, Casual"," Single-player, Steam Achievements, Partial Controller Support, Steam Leaderboards, Family Sharing",2021-06-08,2.79,15,Paul Connor,Paul Connor,10000.0
Green steel,"Action, Casual"," Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Full controller support, Remote Play Together, Family Sharing",2021-07-30,2.99,15,Pursuit Train,Pursuit Train,10000.0
Frosty jumper,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing",2021-06-17,0.99,23,Anderson do Vale,Anderson do Vale,10000.0
Tree strike,"Indie, RPG"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Remote Play Together, Family Sharing",2021-06-04,3.99,17,T_T Games,T_T Games,75000.0
Peg solitaire,"Indie, Strategy"," Single-player, Family Sharing",2021-05-28,1.99,18,Terrestrial Games LLC,Terrestrial Games LLC,75000.0
Slime labs,"Adventure, Indie"," Single-player, Partial Controller Support, Family Sharing",2021-06-08,0.99,13,Pandering Entertainment,Pandering Entertainment,35000.0
Super hot potato,"Indie, Strategy"," Single-player, Steam Achievements, Partial Controller Support, Steam Leaderboards, Family Sharing",2021-05-19,2.79,33,Paul Connor,Paul Connor,10000.0
Mavis beacon keyboarding kidz,"Casual, Education", ,2021-07-20,29.99,30,Encore Software,Encore Software,10000.0
Light pursuer,"Indie, Strategy"," Single-player, Steam Achievements, Steam Cloud, Includes level editor, Family Sharing",2021-07-27,0.99,18,Yang Sun,Yang Sun,10000.0
Duamo,"Casual, Indie"," Single-player, Family Sharing",2021-08-01,4.99,30,Maksim Chugunov,Maksim Chugunov,10000.0
Endless soul light solitaire,"Fr, Casual"," Single-player, Family Sharing",2021-10-12,5.99,19,DigiMight,DigiMight,10000.0
Mira’s workshop,"Fr, Casual"," Single-player, Family Sharing",2021-10-12,4.99,11,DigiMight,DigiMight,10000.0
Seblen: battle!,"Fr, Casual"," Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Family Sharing",2021-07-23,0.99,26,Legible Solutions,Legible Solutions,10000.0
简单的跑酷(simple parkour),"Fr, Casual"," Single-player, Family Sharing",2021-07-23,0.99,9,tree,tree,10000.0
Profectus,"Simulation, Early Access"," Single-player, Multi-player, Steam Achievements, Partial Controller Support, Family Sharing",2021-07-30,2.99,53,Alrek Studios,Alrek Studios,10000.0
Ultimo soccer udc,"Indie, Sports"," Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing",2021-07-14,3.99,22,Ultimo Games,Ultimo Games,10000.0
In space no one can hear you clean,"Casual, Indie"," Single-player, Full controller support, Family Sharing",2021-07-27,2.99,20,TriPaw Games,TriPaw Games,35000.0
Beta escape,"Adventure, Indie"," Single-player, Multi-player, Co-op, LAN Co-op, Family Sharing",2021-09-16,0.99,13,Guillaume Lamontagne,Guillaume Lamontagne,10000.0
「３」,"Adventure, Indie"," Single-player, Family Sharing",2021-07-23,4.99,73,子猫三処,Cat3dokoro,10000.0
Hangtogether,"Indie, Strategy"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Stats, Family Sharing",2021-08-31,0.99,35,Crowbox Interactive,Crowbox Interactive,10000.0
Vortex,"Casual, Strategy"," Single-player, Family Sharing",2021-09-09,2.99,14,Josh Woolley,Josh Woolley,10000.0
Creepy mahjong,"Casual, Indie"," Single-player, Includes level editor, Family Sharing",2021-10-25,7.99,20,Biim Games,Biim Games,10000.0
Prop factory,"Casual, Indie"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-09-10,1.99,15,lbdl GameStudio,lbdl GameStudio,10000.0
明途之境,"Strategy, Early Access"," Single-player, Family Sharing",2021-09-12,4.99,43,3Y Studio,3Y Studio,10000.0
Neondrops,"Education, Utilities", ,2021-09-13,19.99,29,Emmanuel Douge,Emmanuel Douge,10000.0
Starship,"Indie, Early Access"," Single-player, Family Sharing",2021-09-14,0.99,43,OCEANDEEP GAMES,OCEANDEEP GAMES,35000.0
Extrorb,"Sports, Strategy"," Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Stats, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing",2021-09-14,0.99,28,Tresiris,LLC,10000.0
Delta zero,"Action, Indie"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Remote Play Together, Family Sharing",2021-12-24,9.99,60,Tyler M Richardson,Tyler M Richardson,10000.0
Selfmade devil,"Indie, Early Access"," Single-player, Steam Cloud, Family Sharing",2021-09-15,0.99,24,双星骑,双星骑,10000.0
Drag engineer,"Indie, Simulation"," Single-player, Steam Achievements, Family Sharing",2021-09-17,0.99,26,Guang Pu,Guang Pu,10000.0
Mud river,"Casual, Indie"," Single-player, Steam Achievements, Partial Controller Support, Stats, Steam Leaderboards, Family Sharing",2021-09-21,4.99,33,Felipe Mattar,RocpainGames,10000.0
Sex robot road trip: highway to harrisburg,"Casual, Simulation"," Single-player, Family Sharing",2021-09-22,6.99,31,Yoss III,KONOL Games,10000.0
Rectitude,"Adventure, Indie"," Single-player, Family Sharing",2021-09-28,9.99,17,Sean Robbins,SB Media Productions LLC,10000.0
Infinite cube defense,"Fr, Indie"," Single-player, Family Sharing",2021-09-24,1.99,11,Abyss Rift,Abyss Rift,10000.0
Fibertales: dummykart,"Indie, Racing"," Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Remote Play Together, Family Sharing",2021-10-06,4.99,46,FiberTales,FiberTales,10000.0
The 8 sins: new hell order,"RPG, Strategy"," Single-player, Multi-player, PvP, Family Sharing",2021-11-26,10.99,129,"""Omegans Domain""","""Omegans Domain""",35000.0
Treffen,"Simulation, Sports"," Single-player, Family Sharing",2021-09-29,2.99,11,Snake,Snake,10000.0
ボク姫project,"Fr, Adventure"," Single-player, Steam Achievements, Family Sharing",2021-10-14,69.99,250,ウィザードソフト,日本一ソフトウェア,10000.0
Mind space,"Action, in Early Access"," Single-player, Partial Controller Support, Family Sharing",,2.99,43,SuperCooledGames,Palinoia Studios,10000.0
Dungescape!,"Casual, Indie"," Single-player, Family Sharing",2021-10-02,0.99,27,Ben Barefoot,Autism Fanaticism Gaming,10000.0
Legend of labot: the golden pearl,"Fr, Indie"," Single-player, Steam Achievements, Family Sharing",2021-11-17,9.99,50,DreamJoy Studios,DreamJoy Studios,10000.0
Ripple 涟,"Indie, Strategy"," Single-player, Family Sharing",2021-10-01,2.99,22,Leta Games,Leta Games,10000.0
Lucy,"Casual, Indie"," Single-player, Full controller support, Family Sharing",2021-10-06,4.99,21,SkullReaper,SkullReaper,10000.0
Polyboost,"Casual, Indie"," Single-player, Steam Achievements, Full controller support, Steam Leaderboards, Family Sharing",2021-10-26,4.99,23,Epic Byte Studios,Epic Byte Studios,10000.0
Detective gman,"Simulation, Strategy"," Single-player, Partial Controller Support, Family Sharing",2021-10-04,0.99,17,Greg Wildasin,Greg Wildasin,35000.0
Cards matching memory game,"RPG, Strategy"," Single-player, Family Sharing",2021-10-06,1.99,17,Boogygames Studios,Boogygames Studios,10000.0
Schizm: mysterious journey,"Fr, Adventure"," Single-player, Family Sharing",2021-10-08,8.99,208,DETALION,LK Avalon,10000.0
Time's up in tiny town,"Simulation, Strategy"," Single-player, Family Sharing",2021-10-14,5.99,63,6 Toad Games,6 Toad Games,10000.0
Tealgrounds,"Adventure, Strategy"," Single-player, Family Sharing",2021-10-15,3.99,26,Bartłomiej Sapalski,Bartłomiej Sapalski,10000.0
Typeds,"Fr, Action"," Single-player, Steam Leaderboards, Family Sharing",2021-10-22,5.99,19,SimonelOfficial,SeNaByZa,35000.0
Dead tunnel,"Action, Casual"," Single-player, Family Sharing",2021-10-30,5.99,29,GasMask Creative,GasMask Creative,10000.0
Cornmaze craze,"Casual, Indie"," Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Family Sharing",2021-10-29,2.99,14,Elmok,Elmok,10000.0
Starblast: retro wars,"Fr, Action"," Single-player, Partial Controller Support, Family Sharing",2021-10-18,4.99,20,Ken Railey,CrimsonBlackGames,10000.0
The house,"Fr, Indie"," Single-player, Family Sharing",2021-10-29,0.99,19,HalfLabs Studio,HalfLabs Studio,10000.0
Touhou adventure,"Indie, Early Access"," Single-player, Family Sharing",2021-10-20,4.99,47,Crimson Games Dev,Crimson Games Dev,10000.0
Kemonopoly,"Fr, Simulation"," Single-player, Steam Achievements, Partial Controller Support, Family Sharing",2021-11-11,5.09,53,EXAMGAMES,EXAMGAMES,10000.0
A frustrating platformer,"Indie, Strategy"," Single-player, Family Sharing",2021-10-26,0.99,14,SillyFoal Studios,SillyFoal Studios,10000.0
Project runner,"RPG, Strategy"," Single-player, Steam Achievements, Family Sharing",2021-11-01,10.99,15,HecThoor Entertainment,HecThoor Entertainment,35000.0
Code.breaker(),"Indie, Early Access"," Single-player, Partial Controller Support, Family Sharing",2021-12-18,9.99,50,HokaBento Studio,HokaBento Studio GmbH,10000.0
Top gang,"Casual, Indie"," Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together, Family Sharing",2021-10-24,1.99,11,lbdl GameStudio,lbdl GameStudio,10000.0
Rakuten,"Adventure, Indie"," Multi-player, PvP, Online PvP, Co-op, Online Co-op, Family Sharing",2021-12-02,9.99,24,TheRealDan,TheRealDan,10000.0
Make the jump,"Action, Strategy"," Single-player, Family Sharing",2021-12-01,2.99,16,SlidysGames,SlidysGames,10000.0
Miasma 2: freedom uprising,"RPG, Strategy"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Steam Leaderboards, Family Sharing",2021-12-03,2.99,68,ESP Games,David Addis,150000.0
Kungen,"Adventure, Indie"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Partial Controller Support, Remote Play Together, Family Sharing",2021-10-28,4.99,14,Whitecode Games,Whitecode Games,10000.0
The pied piper of gamelin,"Casual, Indie"," Single-player, Steam Achievements, Family Sharing",2021-10-30,1.0,17,Dmitrii Susloparov,The Creator One,10000.0
Heatris,"Fr, Strategy"," Single-player, Family Sharing",2021-11-25,0.99,15,Alexandre Martins Pereira,Alexandre Martins Pereira,10000.0
Karmacrown,"Casual, Indie"," Single-player, Steam Cloud, Family Sharing",2021-11-02,2.99,34,Furyface,Furyface,10000.0
Space depression,"Casual, Indie"," Single-player, Family Sharing",2021-11-11,1.99,18,Tamashii,Tamashii,10000.0
Rage chicken 2,"Action, Indie"," Single-player, Steam Achievements, Stats, Family Sharing",2021-11-05,5.99,22,Adequate Frustration,Adequate Frustration,10000.0
Knockball pool,"Indie, Simulation"," Single-player, Family Sharing",2021-11-07,2.99,20,LGT SIA,LGT SIA,10000.0
Timmy the tiger's big adventure,"Casual, RPG"," Single-player, Family Sharing",2021-11-07,1.99,11,Dragon Ducky Gaming,Dragon Ducky Gaming,10000.0
Daydream mosaics 2: juliette's tale,"Casual, Indie"," Single-player, Family Sharing",2021-11-12,8.99,19,Lucaciu Studio,Lucaciu Studio,10000.0
Shifting dungeon,"Adventure, Strategy"," Single-player, Family Sharing",2021-11-10,2.99,26,Vesite,Vesite,35000.0
Resonance wars,"RPG, Strategy"," Single-player, Steam Achievements, Family Sharing",2021-11-11,2.99,24,TeatimeStrategy,TeatimeStrategy,10000.0
Little stars,"Casual, Indie"," Single-player, Steam Achievements, Steam Cloud, Family Sharing",2021-11-11,0.99,20,evilalbert,evilalbert,10000.0
Jump movement,"Action, Indie"," Single-player, Steam Achievements, Family Sharing",2021-11-12,4.99,11,Semsamoon,Lunavis Games,10000.0
Onnanoko keeper 3,"Casual, Indie"," Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Steam Leaderboards, Family Sharing",2021-11-23,1.99,21,ilyumi,ilyumi Co.,10000.0
The knight of turn,"Strategy, Early Access"," Single-player, Family Sharing",2021-12-18,1.99,19,IdunaSoft,IdunaSoft,10000.0
Bogdanoff vs. wojak simulator,"Simulation, Strategy"," Single-player, Family Sharing",2021-11-20,1.99,22,Kristian Todt,Tofu Interactive,10000.0
Airball,"Action, Strategy"," Single-player, Family Sharing",2021-11-22,3.99,33,MicroDeal Ltd.,Pixel Games UK,75000.0
Robolingo,"Casual, Indie"," Single-player, Partial Controller Support, Family Sharing",2021-11-24,0.99,40,MMG Company,MMG Company,10000.0
Middle ages jigsaw puzzles,"Simulation, Strategy"," Single-player, Family Sharing",2021-11-24,2.99,15,Boogygames Studios,Boogygames Studios,10000.0
Hot roads,"Simulation, Sports"," Single-player, Family Sharing",2021-11-26,4.99,17,QuickBobber,QuickBobber,10000.0
Scientifically accurate dinosaur mating simulator 2021,"Casual, Indie"," Single-player, Steam Achievements, Family Sharing",2021-12-24,4.99,45,Stegalosaurus Game Development,Stegalosaurus Game Development,10000.0
Sabotage 1.0,"Adventure, Indie"," Single-player, Family Sharing",2021-12-02,9.99,18,Pablo Rodriguez,Alternative Reality Games 2015,35000.0
Fast fruit,"Casual, Indie"," Single-player, Family Sharing",2021-12-06,0.99,8,Anthony Gru,Grudev Studio,10000.0
Vr pictures,"Fr, Simulation"," Single-player, Steam Achievements, Tracked Controller Support, Family Sharing",2021-12-08,2.99,52,Adelante LLC,Adelante LLC,10000.0
Trisceli特里西利,"Adventure, Indie"," Single-player, Family Sharing",2021-12-14,1.0,28,Uncle Wang,Uncle Wang,10000.0
Balls and dungeons,"Indie, Strategy"," Single-player, Family Sharing",2021-12-15,1.99,21,Technolomics,Technolomics,35000.0
The devils - a visual novel of wwii,"Action, Adventure"," Single-player, Family Sharing",2021-12-23,1.99,46,William Volk,Deep State Games,75000.0
Aether way,"Indie, Strategy"," Single-player, Family Sharing",2021-03-27,10.99,50,Fearless Donut,Fearless Donut,10000.0
