,Name,developers_publishers,genre,category,release_date,price,owners,followers,playtime_total
1471,['space alpha'],"['Space Alpha', 'Space Alpha']","['Indie', 'Early Access']"," Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Family Sharing","Aug 6, 2021",$10.99,"0 .. 20,000",53,
1472,['bowsette'],"['Synovia Game', 'Synovia Game']","['RPG', 'in Early Access']"," Single-player, Family Sharing","Sep 22, 2021 (previously",$8.99,"0 .. 20,000",812,
1473,['the makings of a lady - purity yours to defile -'],"['Appetite', 'Tensei Games']","['Fr', 'Adventure']"," Single-player, Family Sharing","May 14, 2021",$13.99,"0 .. 20,000",428,
1474,['marialbum'],"['OTUSUN CLUB', 'OTUSUN LAND']","['Fr', 'Simulation']"," Single-player, Family Sharing","May 3, 2021",$9.99,"0 .. 20,000",53,
1475,['upside'],"['QuickBobber', 'QuickBobber']","['Casual', 'Indie']"," Single-player, Family Sharing","Apr 29, 2021",$1.99,"0 .. 20,000",12,
1476,['jeanne at the clock tower'],"['Liar-soft', 'MangaGamer']","['Fr', 'Adventure']"," Single-player, Steam Cloud, Family Sharing","Jun 10, 2021",$39.99,"0 .. 20,000",635,
1477,['fantasy strip poker & blackjack'],"['MotorWizard', 'MotorWizard']","['Fr', 'Casual']"," Single-player, Family Sharing","May 1, 2021",$7.99,"0 .. 20,000",236,
1478,['dream of bells'],"['Mika Pi', 'Mika Pi']","['Casual', 'Indie']"," Single-player, Family Sharing","May 10, 2021",$2.99,"0 .. 20,000",10,
1479,"[""scubaventure: the search for pirate's treasure""]","['Softdisk', 'Ziggurat']","['Action', 'Adventure']"," Single-player, Family Sharing","May 7, 2021",$6.99,"0 .. 20,000",68,
1480,['hentai vr'],"['Hentai VR Studios', 'Hentai VR Studios']","['Fr', 'Simulation']"," Single-player, Tracked Controller Support, VR Only, Family Sharing","Apr 29, 2021",$8.99,"0 .. 20,000","1,140",
1481,['hs galaxy'],"['Manga Games Studio', 'Manga Games Studio']","['Casual', 'Indie']"," Single-player, Steam Achievements, Family Sharing","May 14, 2021",$1.59,"0 .. 20,000",48,
1482,['the little drone 2'],"['Etienne Andlau', 'Pencilgun']","['Adventure', 'Casual']"," Single-player, Family Sharing","Apr 29, 2021",$1.99,"0 .. 20,000",11,
1483,['distant dials'],"['Nomys_Tempar', 'Nylnook']","['Indie', 'Massively Multiplayer']"," Single-player, Multi-player, MMO, Cross-Platform Multiplayer, Family Sharing","Jul 1, 2021",$2.99,"0 .. 20,000",26,
1484,['touching live2d ork sex with lady knight'],"['UwasanoEroRadioHead', 'UwasanoEroRadioHead']","['Fr', 'Simulation']"," Single-player, Family Sharing","May 28, 2021",$7.99,"0 .. 20,000",146,
1485,['sex and morning'],"['House of Mallows', 'House of Mallows']","['Fr', 'Adventure']"," Single-player, Family Sharing","May 14, 2021",$0.99,"0 .. 20,000",311,
1486,['gardens and girls'],"['Kotovodk Studio', 'Kotovodk Studio']","['Casual', 'Indie']"," Single-player, Steam Achievements, Family Sharing","Jul 18, 2021",$0.99,"0 .. 20,000",142,
1487,['wonderful girls'],"['Snkl Studio', 'Snkl Studio']","['Casual', 'Indie']"," Single-player, Steam Achievements, Steam Cloud, Family Sharing","Apr 29, 2021",$0.49,"0 .. 20,000",129,
1488,['flexibility and girls'],"['Kotovodk Studio', 'Kotovodk Studio']","['Casual', 'Indie']"," Single-player, Steam Achievements, Family Sharing","May 16, 2021",$0.49,"0 .. 20,000",178,
1489,['my lovely noblewomen'],"['Kotovodk Studio', 'Kotovodk Studio']","['Casual', 'Indie']"," Single-player, Steam Achievements, Family Sharing","May 20, 2021",$0.49,"0 .. 20,000",166,
1490,['solitaire legend of the pirates 2'],"['Somer Games', '8floor']","['Fr', 'Casual']"," Single-player, Family Sharing","May 9, 2021",$4.99,"0 .. 20,000",21,
1491,['kawaii girls'],"['Kotovodk Studio', 'Kotovodk Studio']","['Casual', 'Indie']"," Single-player, Steam Achievements, Family Sharing","Aug 13, 2021",$0.99,"0 .. 20,000",164,
1492,['armored xpress'],"['Bradley Colson', 'Bradley Colson']","['Strategy', 'in Early Access']"," Single-player, Steam Achievements, Full controller support, Family Sharing","Nov 19, 2021 (previously",$5.99,"0 .. 20,000",42,
1493,['dungeon coup'],"['Mr Z Games', 'Mr Z Games']","['Fr', 'Adventure']"," Single-player, Family Sharing","Sep 27, 2021",$9.99,"0 .. 20,000","1,438",
1494,['elewder'],"['Kinky Fridays', 'Kinky Fridays']","['RPG', 'Early Access']"," Single-player, Full controller support, Family Sharing","Oct 27, 2021",$5.59,"0 .. 20,000","2,862",
1495,['movie actor trivia'],"['LoadUpGames.com', 'LoadUpGames.com']","['Fr', 'Casual']"," Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Remote Play Together, Family Sharing","Apr 24, 2021",$0.99,"0 .. 20,000",11,
1496,['xcute(me)'],"['JKK_WORKS', 'JKK_WORKS']","['Fr', 'Action']"," Single-player, Steam Achievements, Partial Controller Support, Steam Leaderboards, Family Sharing","May 14, 2021",$5.59,"0 .. 20,000",106,
1497,['codename: mystery babylon'],"['Makeshift Software Inc', 'Makeshift Software Inc']","['Strategy', 'Early Access']"," Single-player, Full controller support, Family Sharing","Sep 17, 2021",$24.99,"0 .. 20,000",151,
1498,['click your crush!'],"['Cream Team', 'Cream Team']","['Casual', 'Indie']"," Single-player, Steam Achievements, Family Sharing","Jul 2, 2021",$1.99,"0 .. 20,000",222,
1499,['metal mars'],"['2 Barrel Arts', '2 Barrel Arts']","['Indie', 'Strategy']"," Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Full controller support, Remote Play Together, Family Sharing","May 3, 2021",$11.99,"0 .. 20,000",24,
1500,['sweet desire'],"['SweetGamez', 'SweetGamez']","['Casual', 'Simulation']"," Single-player, Family Sharing","May 20, 2021",$2.99,"0 .. 20,000",494,
1501,['inno world'],"['Technologies&Simulators', 'Technologies&Simulators']","['RPG', 'Simulation']"," Single-player, Family Sharing","Oct 8, 2021",$14.99,"0 .. 20,000",60,
1502,['spider crisis'],"['Method 9 Software', 'Method 9 Software']","['Action', 'Indie']"," Single-player, Steam Achievements, Steam Cloud, Family Sharing","Apr 22, 2021",$1.99,"0 .. 20,000",15,
1503,['starfighter: eclipse'],"['NightmareLand Press', 'Date Nighto']","['Adventure', 'Indie']"," Single-player, Family Sharing","Apr 20, 2021",$19.99,"0 .. 20,000",268,
1504,['romance of raskya'],"['Basileus Games, LLC', 'Basileus Games, LLC']","['Fr', 'Indie']"," Single-player, Steam Achievements, Family Sharing","Jun 2, 2021",$4.99,"0 .. 20,000",154,
1505,['the bronx'],"['EquipoPGGama', 'EquipoPGGama']","['Fr', 'Indie']"," Single-player, Family Sharing","Aug 8, 2021",$9.99,"0 .. 20,000",43,
1506,['lsdriver 1+2 (remastered collection)'],"['Sinned Games', 'Sinned Games']","['Indie', 'Racing']"," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Remote Play Together, Family Sharing","Apr 22, 2021",$0.99,"0 .. 20,000",34,
1507,['come inside my inner world'],"['Man of culture', 'Man of culture']","['Fr', 'Casual']"," Single-player, Steam Achievements, Family Sharing","Apr 20, 2021",$4.99,"0 .. 20,000",531,
1508,['冒险时光机'],"['花熊工作室', ' 花熊工作室']","['Casual', 'Indie']"," Single-player, Family Sharing","Apr 30, 2021",$0.99,"0 .. 20,000",17,
1509,['drift phonk 666'],"['deadworld games', 'deadworld games']","['Indie', 'Racing']"," Single-player, Family Sharing","Apr 16, 2021",$0.99,"0 .. 20,000",193,
1510,"['oppai academy big, bouncy, booby babes!']","['Milkfactory', 'Frontwing USA']","['Adventure', 'Casual']"," Single-player, Steam Cloud, Family Sharing","May 12, 2021",$39.99,"0 .. 20,000","12,205",00:10 (average) 00:10 (median)
1511,['erotic jigsaw puzzle'],"['Lolita LineArt', 'DIG Publishing']","['Casual', 'Indie']"," Single-player, Steam Achievements, Steam Leaderboards, Family Sharing","Apr 17, 2021",$1.19,"0 .. 20,000",51,
1512,['namnokh'],"['Gutslap Games', 'Gutslap Games']","['Fr', 'Indie']"," Single-player, Partial Controller Support, Family Sharing","May 31, 2021",$5.99,"0 .. 20,000",23,
1513,['bloodtype'],"['Quillity Studios LLC', 'Quillity Studios LLC']","['Casual', 'Indie']"," Single-player, Family Sharing","Jul 9, 2021",$1.99,"0 .. 20,000",19,
1514,['colorize inspect'],"['QuickBobber', 'QuickBobber']","['Casual', 'Indie']"," Single-player, Family Sharing","Apr 13, 2021",$1.99,"0 .. 20,000",10,
1515,['jigsaw jolt: neural style 1'],"['Bill Stanbrook', 'Bill Stanbrook']","['Casual', 'Strategy']"," Single-player, Family Sharing","May 28, 2021",$2.99,"0 .. 20,000",13,
1516,['inside soccer'],"['659 Records (PTY) LTD', '659 Records (PTY) LTD']","['Simulation', 'Sports']"," Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Full controller support, Remote Play on TV, Remote Play Together, Family Sharing","Aug 17, 2021",$4.99,"0 .. 20,000",27,
1517,['seductive tombs'],"['Lieon Games', 'Sinnera']","['Casual', 'Indie']"," Single-player, Steam Achievements, Family Sharing","Apr 19, 2021",$1.99,"0 .. 20,000",114,
1518,['mind-blowing girls 2'],"['Snkl Studio', 'Snkl Studio']","['Casual', 'Indie']"," Single-player, Steam Achievements, Steam Cloud, Family Sharing","Apr 15, 2021",$0.49,"0 .. 20,000",96,
1519,['pornocrates'],"['by Cassandra', '']","['Action', 'Adventure']"," Single-player, Family Sharing","Jun 3, 2021",$11.99,"0 .. 20,000","1,709",
1520,['vr bukkake'],"['Hentai VR Studios', 'Hentai VR Studios']","['Fr', 'Simulation']"," Single-player, Tracked Controller Support, VR Only, Family Sharing","Apr 15, 2021",$8.99,"0 .. 20,000",356,
1521,['flingleberries!'],"['Sloth Planet Games', 'Labrodex Inc.']","['Casual', 'Indie']"," Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Full controller support, Remote Play Together, Family Sharing","Apr 15, 2021",$4.99,"0 .. 20,000",11,
1522,['midnight stories'],"['coderenderx', 'coderenderx']","['Fr', 'Simulation']"," Single-player, Partial Controller Support, Family Sharing","Apr 13, 2021",$10.99,"0 .. 20,000",197,
1523,['darkwaronline'],"['Brahian German Franco Bley', 'Brahian German Franco Bley']","['Fr', 'RPG']"," Single-player, Family Sharing","Apr 12, 2021",$9.99,"0 .. 20,000",33,
1524,['cybersex 2069'],"['LarsMidnatt', 'Witching Hour Entertainment LLC']","['Casual', 'Indie']"," Single-player, Steam Achievements, Steam Cloud, Family Sharing","Jun 14, 2021",$2.99,"0 .. 20,000",657,
1525,['lost in labs'],"['Pink Astronaut Games', 'Pink Astronaut Games']","['Adventure', 'Indie']"," Single-player, Steam Achievements, Family Sharing","Dec 18, 2021",$1.99,"0 .. 20,000",41,
1526,['hentai beach girls'],"['PaulArt', 'PaulArt']","['Casual', 'Indie']"," Single-player, Steam Achievements, Steam Cloud, Stats, Family Sharing","May 28, 2021",$0.99,"0 .. 20,000",123,
1527,['labyrinth hearts'],"['Jamie Justice', 'Knightmarish Games']","['Fr', 'RPG']"," Single-player, Partial Controller Support, Family Sharing","May 1, 2021",$1.99,"0 .. 20,000",99,
1528,['beautiful girls'],"['SimpleDes', 'SimpleDes']","['Casual', 'Simulation']"," Single-player, Steam Achievements, Steam Cloud, Family Sharing","Apr 5, 2021",$1.99,"0 .. 20,000",318,
1529,['strip black jack - sex bunny'],"['CritoGames', 'CritoGames']","['Indie', 'Simulation']"," Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Apr 24, 2021",$1.99,"0 .. 20,000",216,
1530,['musketeer of the hell'],"['MoonlightGames', 'MoonlightGames']","['Action', 'Indie']"," Single-player, Family Sharing","Apr 21, 2021",$8.99,"0 .. 20,000",36,
1531,['sleepy sunday'],"['Martin Cochet', 'Martin Cochet']","['Adventure', 'Indie']"," Single-player, Family Sharing","Sep 9, 2021",$7.99,"0 .. 20,000",47,
1532,['online retro tennis'],"['Rogerty', 'Rogerty']","['Casual', 'Sports']"," Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Family Sharing","Apr 27, 2021",$1.99,"0 .. 20,000",14,
1533,['gethaut'],"['Griaznov Aliexiey', 'Ru Games']","['Adventure', 'Indie']"," Single-player, Family Sharing","Apr 28, 2021",$10.99,"0 .. 20,000",40,
